Incident Id,Received,IncidentType,ProductType,NotifierType,OriginCountry,IncidentSource
I-004-951,03/01/23,Pathogenic Micro-Organisms,Fish & Fish Products,Local Authority,Latvia,Microbiological Contamination
I-004-952,03/01/23,Foreign Bodies,Cereals & Bakery Products,Industry,United Kingdom,Production Fault
I-004-953,04/01/23,ALLERGEN: Milk,Confectionery,Industry,United Kingdom,Human Error
I-004-954,04/01/23,Labelling Absent / Incomplete / Incorrect,Confectionery,Port Health Authority (PHA),United States,Labelling Packaging Error
I-004-955,04/01/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Microbiological Contamination
I-004-957,04/01/23,ALLERGEN: Milk,Cereals & Bakery Products,FSA Policy,United Kingdom,Labelling Packaging Error
I-004-958,04/01/23,ALLERGEN: Milk,Cereals & Bakery Products,FSA Survey,United Kingdom,Labelling Packaging Error
I-004-959,04/01/23,Foreign Bodies,Prepared Dishes & Snacks,Industry,United Kingdom,Production Fault
I-004-960,04/01/23,Pesticide Residues,Fruits & Vegetables,Local Authority,Egypt,Pesticides
I-004-961,05/01/23,Pathogenic Micro-Organisms,Pet Food,Local Authority,United Kingdom,Microbiological Contamination
I-004-962,04/01/23,Not Determined / Other,Fish & Fish Products,Port Health Authority (PHA),Vietnam,Illegal Import/Export
I-004-963,05/01/23,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,Local Authority,Ghana,Pesticides
I-004-964,05/01/23,Mycotoxins,Nuts / Nut Products / Seeds,RASFF,,Natural Chemical Contamination
I-004-965,05/01/23,Migration,Food Contact Materials,Local Authority,Bangladesh,Migration of Chemicals
I-004-967,04/01/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-004-968,05/01/23,Foreign Bodies,Pet Food,RASFF,Germany,Unknown
I-004-969,04/01/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",United Kingdom,Microbiological Contamination
I-004-970,06/01/23,Environmental Pollutants,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Metals - Other
I-004-971,06/01/23,Migration,Confectionery,Local Authority,,Migration of Chemicals
I-004-972,06/01/23,Heavy Metals,Fruits & Vegetables,FSA Survey,United Kingdom,Natural Chemical Contamination
I-004-974,09/01/23,Pathogenic Micro-Organisms,Crustaceans & Products Thereof,Department for Environment Food & Rural Affairs (Defra),,Microbiological Contamination
I-004-975,06/01/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Microbiological Contamination
I-004-976,06/01/23,ALLERGEN: Nuts,Prepared Dishes & Snacks,Local Authority,United Kingdom,Labelling Packaging Error
I-004-977,07/01/23,ALLERGEN: Milk,Soups / Broths / Sauces & Condiments,Industry,United Kingdom,Labelling Packaging Error
I-004-978,09/01/23,Chemical Contamination (other),Confectionery,General Public,United Kingdom,Production Fault
I-004-979,06/01/23,Chemical Contamination (other),Nuts / Nut Products / Seeds,EU Member States,Netherlands,Natural Chemical Contamination
I-004-980,09/01/23,Pathogenic Micro-Organisms,Crustaceans & Products Thereof,Department for Environment Food & Rural Affairs (Defra),,Microbiological Contamination
I-004-981,04/01/23,Pathogenic Micro-Organisms,Crustaceans & Products Thereof,Undefined,United Kingdom,Microbiological Contamination
I-004-983,09/01/23,ALLERGEN: Milk,Poultry Meat & Poultry Meat Products,Local Authority,United Kingdom,Use of Unauthorised Ingredient
I-004-984,09/01/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-004-985,09/01/23,Organoleptic Aspects,Water,EU Member States,Ireland,Migration of Chemicals
I-004-986,10/01/23,ALLERGEN: Nuts,Ices & Desserts,Local Authority,United Kingdom,Labelling Packaging Error
I-004-988,10/01/23,ALLERGEN: Fish,Fish & Fish Products,Local Authority,United Kingdom,Labelling Packaging Error
I-004-989,10/01/23,ALLERGEN: Soya,Cereals & Bakery Products,Other,India,Labelling Packaging Error
I-004-990,10/01/23,ALLERGEN: Soya,Cereals & Bakery Products,Department for Environment Food & Rural Affairs (Defra),India,Labelling Packaging Error
I-004-991,11/01/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,EU Member States,United States,Unknown
I-004-992,10/01/23,Pathogenic Micro-Organisms,Cereals & Bakery Products,Industry,France,Microbiological Contamination
I-004-993,11/01/23,ALLERGEN: Mustard,Prepared Dishes & Snacks,Food Standards Scotland (FSS),United Kingdom,Unknown
I-004-994,11/01/23,Foreign Bodies,Cereals & Bakery Products,EU Member States,United Kingdom,Unknown
I-004-995,10/01/23,Pathogenic Micro-Organisms,Undefined,EU Member States,,Unknown
I-004-996,11/01/23,Composition,Non-Alcoholic Beverages,EU Member States,United Kingdom,Unknown
I-004-997,11/01/23,Not Determined / Other,Meat & Meat Products (other than poultry),Industry,,Unauthorised Premises/Process
I-004-998,11/01/23,ALLERGEN: Soya,Cereals & Bakery Products,RASFF,Belgium,Labelling Packaging Error
I-004-999,11/01/23,Mycotoxins,Fruits & Vegetables,RASFF,,Natural Chemical Contamination
I-005-000,11/01/23,Novel Food,Other Food Product / Mixed,RASFF,Thailand,Use of Unauthorised Ingredient
I-005-001,11/01/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),,Microbiological Contamination
I-005-002,11/01/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Microbiological Contamination
I-005-003,12/01/23,Pathogenic Micro-Organisms,N/A,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Spill/Leak
I-005-004,12/01/23,Pathogenic Micro-Organisms,Pet Food,Local Authority,United Kingdom,Microbiological Contamination
I-005-005,12/01/23,Chemical Contamination (other),Non-Alcoholic Beverages,Food Standards Scotland (FSS),United Kingdom,Unknown
I-005-006,12/01/23,Foreign Bodies,Fish & Fish Products,RASFF,France,Human Error
I-005-007,12/01/23,Pathogenic Micro-Organisms,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Netherlands,Microbiological Contamination
I-005-008,12/01/23,Chemical Contamination (other),Other Food Product / Mixed,RASFF,China,Natural Chemical Contamination
I-005-009,12/01/23,Poor or Insufficient Controls,Cereals & Bakery Products,Local Authority,,Human Error
I-005-010,12/01/23,Foreign Bodies,Meat & Meat Products (other than poultry),Industry,United Kingdom,Human Error
I-005-011,13/01/23,Pathogenic Micro-Organisms,Fish & Fish Products,Local Authority,United Kingdom,Microbiological Contamination
I-005-012,12/01/23,Packaging Defective / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,General Public,,Malicious Tampering
I-005-013,13/01/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Department for Environment Food & Rural Affairs (Defra),United Kingdom,Human Error
I-005-014,10/01/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-015,10/01/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-016,12/01/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-017,12/01/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-018,13/01/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Department for Environment Food & Rural Affairs (Defra),United Kingdom,Human Error
I-005-019,13/01/23,ALLERGEN: Milk,Prepared Dishes & Snacks,Local Authority,United Kingdom,Human Error
I-005-020,13/01/23,ALLERGEN: Nuts,Cereals & Bakery Products,Industry,France,Labelling Packaging Error
I-005-021,13/01/23,Chemical Contamination (other),Cereals & Bakery Products,RASFF,Romania,Natural Chemical Contamination
I-005-022,17/01/23,Poor or Insufficient Controls,Prepared Dishes & Snacks,FSA England,United Kingdom,Use of Unauthorised Ingredient
I-005-023,13/01/23,Pesticide Residues,Cereals & Bakery Products,RASFF,Paraguay,Pesticides
I-005-024,13/01/23,ALLERGEN: Soya,Dietetic Foods / Food Supplements / Fortified Foods,Industry,United Kingdom,Labelling Packaging Error
I-005-025,16/01/23,ALLERGEN: Non-regulated allergen reactions,Fruits & Vegetables,Other,United Kingdom,Human Error
I-005-026,16/01/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Microbiological Contamination
I-005-027,16/01/23,Heavy Metals,Herbs & Spices,RASFF,Tanzania,Unknown
I-005-028,16/01/23,Food Additives & Flavourings,Food Additives & Flavourings,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-029,16/01/23,Foreign Bodies,Feed Premixtures,RASFF,Belgium,Unknown
I-005-030,16/01/23,Not Determined / Other,N/A,National Crime Agency (NCA),United Kingdom,Malicious Tampering
I-005-031,17/01/23,ALLERGEN: Crustaceans,Prepared Dishes & Snacks,Industry,United Kingdom,Labelling Packaging Error
I-005-032,17/01/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Local Authority,Romania,Microbiological Contamination
I-005-033,17/01/23,ALLERGEN: Milk,Prepared Dishes & Snacks,FSA England,Bangladesh,Use of Unauthorised Ingredient
I-005-034,17/01/23,ALLERGEN: Milk,Prepared Dishes & Snacks,FSA England,India,Use of Unauthorised Ingredient
I-005-035,17/01/23,ALLERGEN: Milk,Prepared Dishes & Snacks,FSA England,India,Use of Unauthorised Ingredient
I-005-036,17/01/23,ALLERGEN: Milk,Prepared Dishes & Snacks,FSA England,Pakistan,Labelling Packaging Error
I-005-037,17/01/23,ALLERGEN: Eggs,Prepared Dishes & Snacks,FSA England,United Kingdom,Illegal Import/Export
I-005-038,17/01/23,ALLERGEN: Eggs,Prepared Dishes & Snacks,Other,United Kingdom,Use of Unauthorised Ingredient
I-005-039,17/01/23,ALLERGEN: Non-regulated allergen reactions,Prepared Dishes & Snacks,FSA Policy,India,Unknown
I-005-040,17/01/23,ALLERGEN: Non-regulated allergen reactions,Prepared Dishes & Snacks,Other,Bangladesh,Unknown
I-005-041,17/01/23,ALLERGEN: Milk,Prepared Dishes & Snacks,FSA Survey,Bangladesh,Unknown
I-005-042,17/01/23,ALLERGEN: Eggs,Prepared Dishes & Snacks,FSA Survey,India,Unknown
I-005-043,17/01/23,ALLERGEN: Eggs,Prepared Dishes & Snacks,FSA England,Pakistan,Use of Unauthorised Ingredient
I-005-045,18/01/23,Pesticide Residues,Herbs & Spices,Industry,Japan,Pesticides
I-005-046,18/01/23,Pathogenic Micro-Organisms,Milk & Milk Products,Local Authority,United Kingdom,Microbiological Contamination
I-005-047,18/01/23,Pathogenic Micro-Organisms,Milk & Milk Products,Local Authority,United Kingdom,Microbiological Contamination
I-005-048,18/01/23,ALLERGEN: Milk,Cereals & Bakery Products,Industry,United Kingdom,Human Error
I-005-049,18/01/23,Foreign Bodies,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Production Fault
I-005-050,18/01/23,Pathogenic Micro-Organisms,Other Food Product / Mixed,Local Authority,United Kingdom,Microbiological Contamination
